Year,Month,City,Sea Turtle,Cetacean,Total Count
2021,1,New Tapei City,16,2,18
2021,1,Penghu County,13,3,16
2021,1,Yilan County,10,2,12
2021,1,Taitung County,8,2,10
2021,1,Pingtung County,3,3,6
2021,1,Kaohsiung City,5,0,5
2021,1,Lienchiang County,0,3,3
2021,1,Hualien County ,1,1,2
2021,1,Yunlin County,1,1,2
2021,1,Tainan City,2,0,2
2021,1,Miaoli County,1,0,1
2021,1,Taoyuan City,1,0,1
2021,1,Keelung City,1,0,1
2021,1,Changhua County,1,0,1
2021,2,New Tapei City,12,0,12
2021,2,Penghu County,7,1,8
2021,2,Yilan County,7,0,7
2021,2,Taitung County,6,0,6
2021,2,Keelung City,3,0,3
2021,2,Changhua County,0,3,3
2021,2,Pingtung County,2,0,2
2021,2,Tainan City,1,1,2
2021,2,Hualien County ,0,1,1
2021,2,Kinmen County,0,1,1
2021,2,Miaoli County,0,1,1
2021,2,Taoyuan City,1,0,1
2021,2,Yunlin County,0,1,1
2021,2,Chiayi County,0,1,1
2021,3,New Tapei City,12,2,14
2021,3,Penghu County,8,5,13
2021,3,Pingtung County,6,1,7
2021,3,Taitung County,5,2,7
2021,3,Keelung City,5,1,6
2021,3,Yilan County,4,1,5
2021,3,Hualien County ,4,0,4
2021,3,Miaoli County,1,2,3
2021,3,Taoyuan City,1,1,2
2021,3,Yunlin County,1,0,1
2021,3,Changhua County,0,1,1
2021,3,Taichung City,0,1,1
2021,3,Tainan City,1,0,1
2021,4,New Tapei City,16,0,16
2021,4,Penghu County,12,1,13
2021,4,Lienchiang County,0,9,9
2021,4,Yilan County,6,1,7
2021,4,Taitung County,3,2,5
2021,4,Keelung City,2,2,4
2021,4,Hualien County ,2,1,3
2021,4,Miaoli County,0,2,2
2021,4,Taoyuan City,1,1,2
2021,4,Kinmen County,0,1,1
2021,4,Pingtung County,1,0,1
2021,4,Yunlin County,0,1,1
2021,4,Chiayi County,1,0,1
2021,4,Taichung City,0,1,1
2021,5,Penghu County,6,2,8
